Run time in miliseconds,Input size

RANDOM DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,1.5206,0.9478,0.8653,36.6682,39.639,0.2089,1.8346,1.3928,0.6117,0.1703,1.2875,0.223
3000,16.6528,9.2031,18.5423,353.803,272.219,0.6063,4.0644,2.588,1.2273,0.3901,3.1093,0.6992
10000,146.327,96.4745,74.6695,3004.8,2339.85,1.9792,12.99,9.4925,4.6715,1.206,11.6718,1.881
30000,1258.29,640.818,420.98,26310.7,20965.9,7.3818,46.395,27.5926,15.7826,3.3456,33.6968,5.1994
100000,13895.4,7814.68,5071.79,290594,233347,28.9384,166.027,99.8084,58.376,10.9737,115.55,18.3711

SORTED DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,1.6942,0.0047,0.0971,1.5635,0.0038,0.0327,1.1672,0.9533,0.1389,0.2282,0.7651,0.1792
3000,13.4295,0.0146,0.2195,14.1569,0.0104,0.1193,3.9608,2.5576,0.9041,0.395,2.9916,0.6201
10000,145.06,0.0418,1.0365,153.681,0.0332,0.7732,15.0867,8.5447,1.778,1.396,9.7011,2.0458
30000,1281.64,0.1158,3.2303,1426.23,0.0864,1.6092,55.768,25.3731,4.9563,3.7585,37.0588,5.5837
100000,14007.1,0.3861,10.2542,15006,0.3077,6.1804,168.349,81.5184,20.4948,12.7179,114.543,17.8278

NEARLY SORTED DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,1.5512,0.0958,0.1122,2.2036,0.5848,0.0668,1.9661,1.2085,0.3943,0.1063,0.7502,0.2307
3000,13.6239,0.2108,0.2522,16.6257,2.254,0.2314,4.1182,2.4639,0.7027,0.323,2.8968,0.5491
10000,140.427,0.3064,0.9757,161.167,9.1483,0.9032,13.6164,7.8428,1.6896,1.5748,9.1475,1.6098
30000,1261.58,0.7655,2.9411,1375.33,19.0348,2.8432,44.3677,26.0893,4.7427,3.9113,35.5757,4.7325
100000,13963.2,1.3127,12.4059,15041.4,21.928,6.8517,167.589,80.1531,19.3877,11.3334,114.206,17.4717

REVERSE DATA
,Selection sort,Insertion sort,Binary insertion sort,Bubble sort,Shaker sort,Shell sort,Heap sort,Merge sort,Quick sort,Counting sort,Radix sort,Flash sort
1000,1.6211,1.5524,1.1186,55.0349,48.3532,0.124,1.1083,1.1522,0.3581,0.2377,0.855,0.2493
3000,13.8614,12.9764,8.6218,496.746,392.938,0.1788,3.1837,2.6247,0.7572,0.4372,2.8387,0.7095
10000,143.153,142.499,91.3147,5524.79,4403.94,0.8552,12.2436,8.2791,2.453,1.3818,9.9991,1.9732
30000,1275.75,1276.76,834.12,49681.4,39721.4,2.1988,41.0651,23.8563,7.2411,3.6839,34.8357,5.5353
100000,14100.2,14105.7,9380.02,554377,444398,8.6019,154.967,91.141,26.2169,12.1796,115.829,20.862
